"Name","VisualLevel","TID","InfoTID","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","RequiredHeroTavernLevel","AttackRange","AltAttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SquarePicture","SquarePictureSWF","ArmyTrainingPicture","ArmyTrainingPictureSWF","Projectile","PreferedTargetBuilding","DeployEffect","AttackEffect","AttackEffectAlt","HitEffect","IsFlying","AirTargets","GroundTargets","IsJumper","AttackCount","DieEffect","Animation","AbilityAttackCount","MaxSearchRadiusForDefender","HousingSpace","HealerWeight","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilitySummonTroop","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","StrengthWeight","StrengthWeight2","AlertRadius","Scale","AuraSpell","AuraSpellLevel","AuraTID","AuraDescTID","AuraBigPictureExportName","RetributionSpell","RetributionSpellLevel","RetributionSpellTriggerHealth","HasAltMode","AltModeFlying","AltModeAnimation","PreferedTargetBuildingClass","NoAttackOverWalls","TargetGroups","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","SmoothJump","WakeUpSpeed","WakeUpSpace","FriendlyGroupWeight","EnemyGroupWeight","AttackEffectShared","TargetedEffectOffset","TriggersTraps","VillageType","NoDefence","PreAttackEffect","DefaultSkin","NewTargetAttackDelay","Gender","SpecialAbilities","SpecialAbilitiesLevel","AvoidNoiseInAttackPositionSelection","AbilityExtraPowerMaxLevel","PreviewScenario","AltPreviewScenario","ItemSlotCount","DefaultItems","MigrationGearLevel","HeroFlagSWF","HeroFlagExportName","HeroFlagBaseExportName","HeroBannerPrefix","LevelGrantedByTavernLevel","ControlledMoveEffect","ForceRetaliation"
"String","int","String","String","int","int","int","String","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","boolean","int","String","String","int","int","int","int","int","int","String","int","String","int","int","int","String","String","String","String","int","int","int","int","String","int","String","String","String","String","int","int","boolean","boolean","String","String","boolean","boolean","boolean","int","int","int","boolean","int","int","int","int","String","int","boolean","int","boolean","String","String","int","String","String","String","boolean","int","String","String","int","String","int","String","String","String","String","int","String","boolean"
"Barbarian King",1,"TID_BARBARIAN_KING","TID_HERO_INSTRUCTIONS_BARBARIAN",200,1445,2,"DarkElixir",5000,7,1,100,,1200,,102,1,,"sc/ui.sc","icon_hero_barbarianKing","unit_barbarianKing_big","sc/info_barbarian.sc","icon_hero_barbarianKing_profile","sc/ui.sc","hero_art_bk","sc/ui.sc",,,"Hero Deploy",,,"Barbarian King Hit","FALSE","FALSE","TRUE","FALSE",,,,,1000,25,21,10,,"Elixir",,"Barbarian King Scream",,,300,"Barbarian","TID_HERO_ABILITY_BARBARIAN_DESC","icon_hero_barbarianKing_ability1","unit_barbarianKing_ability_big",1564,782,1200,,,,,,,,,,,,,,,,,,,,,,,2100,2500,,-50,"TRUE",,,,"BarbarianKingDefault",,"M","BarbarianKingAbilityHeal","1","TRUE",,"HeroKing",,2,"Barbarian Crown; Iron Fist;",1,"sc/buildings.sc","BK_rally_point","BK_rally_point_base","bk",,"ForceMoveBK","TRUE"
,2,,,,1481,4,,5500,7,1,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1601,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,3,,,,1518,8,,6000,7,1,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1634,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,4,,,,1556,10,,6500,7,1,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1677,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,5,,,,1595,12,,7000,7,1,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1802,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,6,,,,1635,14,,7500,7,1,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1844,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,7,,,,1675,16,,8000,7,1,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1890,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,8,,,,1717,18,,8500,7,1,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1929,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,9,,,,1760,20,,10000,7,1,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1978,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,10,,,,1805,22,,10500,7,1,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2125,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,1,,,,,,,
,11,,,,1850,24,,11000,8,2,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2174,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,12,,,,1896,24,,11500,8,2,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2227,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,13,,,,1943,24,,12000,8,2,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2277,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,14,,,,1992,24,,12500,8,2,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2334,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,15,,,,2042,24,,13000,8,2,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,2495,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,16,,,,2093,24,,13500,8,2,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,2556,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,17,,,,2145,24,,14000,8,2,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,2613,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,18,,,,2198,24,,14500,8,2,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,2680,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,19,,,,2253,24,,15000,8,2,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,2740,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,20,,,,2309,24,,17000,8,2,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,2927,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,2,,,,,,,
,21,,,,2367,24,,19000,9,3,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,2997,1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,22,,,,2427,24,,21000,9,3,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,3069,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,23,,,,2487,24,,23000,9,3,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,3141,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,24,,,,2549,24,,25000,9,3,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,3220,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,25,,,,2613,48,,27000,9,3,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,3433,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,3,,,,,,,
,26,,,,2678,48,,29000,9,3,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,3513,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,27,,,,2746,48,,31000,9,3,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,3596,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,28,,,,2814,48,,33000,9,3,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,3679,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,29,,,,2885,48,,35000,9,3,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,3770,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,30,,,,2956,54,,37000,9,3,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4015,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,4,,,,,,,
,31,,,,3030,54,,39000,10,4,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4108,2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,32,,,,3107,54,,41000,10,4,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4209,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,33,,,,3184,54,,43000,10,4,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4310,2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,34,,,,3264,54,,45000,10,4,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4414,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,35,,,,3346,60,,47000,10,4,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,4694,2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,5,,,,,,,
,36,,,,3429,60,,49000,10,4,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,4800,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,37,,,,3515,60,,51000,10,4,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,4914,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,38,,,,3602,60,,53000,10,4,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,5035,3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,39,,,,3692,60,,55000,10,4,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,5154,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,40,,,,3785,72,,58000,10,4,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,5471,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,6,,,,,,,
,41,,,,3879,72,,61000,11,5,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,5655,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,42,,,,3976,72,,64000,11,5,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,5792,3723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,43,,,,4076,72,,67000,11,5,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,5932,3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,44,,,,4178,72,,70000,11,5,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,6074,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,45,,,,4282,72,,73000,11,5,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,6440,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,7,,,,,,,
,46,,,,4389,72,,76000,11,5,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,6593,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
,47,,,,4499,72,,79000,11,5,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,6756,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
,48,,,,4611,72,,82000,11,5,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,6915,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
,49,,,,4727,72,,85000,11,5,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,7084,4641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
,50,,,,4845,84,,86000,11,5,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,7506,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,8,,,,,,,
,51,,,,4967,84,,87000,12,6,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,7688,5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9,,,,,,,
,52,,,,5092,84,,88000,12,6,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,7874,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9,,,,,,,
,53,,,,5219,84,,89000,12,6,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,8063,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9,,,,,,,
,54,,,,5350,84,,90000,12,6,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,8262,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,9,,,,,,,
,55,,,,5484,84,,93000,12,6,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,8747,5925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,9,,,,,,,
,56,,,,5622,84,,96000,12,6,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,8955,6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10,,,,,,,
,57,,,,5763,84,,99000,12,6,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,9174,6214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10,,,,,,,
,58,,,,5908,84,,102000,12,6,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,9397,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10,,,,,,,
,59,,,,6055,84,,105000,12,6,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,9622,6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,10,,,,,,,
,60,,,,6208,96,,107000,12,6,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10180,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,10,,,,,,,
,61,,,,6363,96,,109000,12,6,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10417,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11,,,,,,,
,62,,,,6522,96,,111000,12,6,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10665,7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11,,,,,,,
,63,,,,6685,96,,113000,12,6,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,10925,7511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11,,,,,,,
,64,,,,6853,96,,115000,12,6,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,11185,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,11,,,,,,,
,65,,,,7024,96,,117000,12,6,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,11813,7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,11,,,,,,,
,66,,,,7200,96,,119000,13,7,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,12098,8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12,,,,,,,
,67,,,,7378,96,,121000,13,7,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,12379,8253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12,,,,,,,
,68,,,,7557,96,,123000,13,7,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,12668,8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12,,,,,,,
,69,,,,7735,96,,125000,13,7,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,12962,8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,12,,,,,,,
,70,,,,7905,108,,130000,13,7,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,13641,8826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,12,,,,,,,
,71,,,,8075,108,,135000,13,7,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,13933,9016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,13,,,,,,,
