"Name","VisualLevel","TID","InfoTID","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","RequiredHeroTavernLevel","AttackRange","AltAttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SquarePicture","SquarePictureSWF","ArmyTrainingPicture","ArmyTrainingPictureSWF","Projectile","PreferedTargetBuilding","DeployEffect","AttackEffect","AttackEffectAlt","HitEffect","IsFlying","AirTargets","GroundTargets","IsJumper","AttackCount","DieEffect","Animation","AbilityAttackCount","MaxSearchRadiusForDefender","HousingSpace","HealerWeight","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilitySummonTroop","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","StrengthWeight","StrengthWeight2","AlertRadius","Scale","AuraSpell","AuraSpellLevel","AuraTID","AuraDescTID","AuraBigPictureExportName","RetributionSpell","RetributionSpellLevel","RetributionSpellTriggerHealth","HasAltMode","AltModeFlying","AltModeAnimation","PreferedTargetBuildingClass","NoAttackOverWalls","TargetGroups","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","SmoothJump","WakeUpSpeed","WakeUpSpace","FriendlyGroupWeight","EnemyGroupWeight","AttackEffectShared","TargetedEffectOffset","TriggersTraps","VillageType","NoDefence","PreAttackEffect","DefaultSkin","NewTargetAttackDelay","Gender","SpecialAbilities","SpecialAbilitiesLevel","AvoidNoiseInAttackPositionSelection","AbilityExtraPowerMaxLevel","PreviewScenario","AltPreviewScenario","ItemSlotCount","DefaultItems","MigrationGearLevel","HeroFlagSWF","HeroFlagExportName","HeroFlagBaseExportName","HeroBannerPrefix","LevelGrantedByTavernLevel","ControlledMoveEffect","ForceRetaliation"
,72,,,,8245,108,,140000,13,7,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,14219,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,13,,,,,,,
,73,,,,8415,108,,145000,13,7,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,14511,9390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,13,,,,,,,
,74,,,,8585,108,,150000,13,7,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,14797,9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,13,,,,,,,
,75,,,,8755,120,,155000,13,7,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,15533,10207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,13,,,,,,,
,76,,,,8917,120,,160000,14,8,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,15809,10389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,14,,,,,,,
,77,,,,9078,120,,165000,14,8,,,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,16090,10574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,14,,,,,,,
,78,,,,9240,120,,170000,14,8,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,16366,10755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,14,,,,,,,
,79,,,,9401,120,,175000,14,8,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,16647,10940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,14,,,,,,,
,80,,,,9563,144,,180000,14,8,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,17414,11126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,14,,,,,,,
,81,,,,9690,144,,190000,14,8,,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,17647,11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,15,,,,,,,
,82,,,,9818,144,,200000,14,8,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,17875,11420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,15,,,,,,,
,83,,,,9945,144,,210000,14,8,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,18108,11569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,15,,,,,,,
,84,,,,10073,144,,220000,14,8,,,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,18343,11719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,15,,,,,,,
,85,,,,10200,168,,230000,14,8,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,19092,11868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,15,,,,,,,
,86,,,,10328,168,,240000,15,9,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,19333,12018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,15,,,,,,,
,87,,,,10455,168,,250000,15,9,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,19566,12162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,15,,,,,,,
,88,,,,10583,168,,260000,15,9,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,19807,12312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,15,,,,,,,
,89,,,,10710,168,,270000,15,9,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,20047,12461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,15,,,,,,,
,90,,,,10838,180,,280000,15,9,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,20836,12611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,15,,,,,,,
,91,,,,10965,180,,290000,16,10,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,21082,12760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,15,,,,,,,
,92,,,,11093,180,,300000,16,10,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,21323,12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,15,,,,,,,
,93,,,,11220,180,,310000,16,10,,,,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,21569,13055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,15,,,,,,,
,94,,,,11348,180,,320000,16,10,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,21817,13205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,15,,,,,,,
,95,,,,11475,192,,340000,16,10,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,22643,13354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,15,,,,,,,
,96,,,,11600,192,,350000,17,11,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,22900,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,15,,,,,,,
,97,,,,11725,192,,360000,17,11,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,23150,13650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,15,,,,,,,
,98,,,,11850,192,,370000,17,11,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,23400,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,15,,,,,,,
,99,,,,11975,192,,380000,17,11,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,23650,13950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,15,,,,,,,
,100,,,,12100,192,,400000,17,11,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,24300,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,15,,,,,,,
,101,,,,12225,192,,410000,18,12,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,24450,14250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,15,,,,,,,
,102,,,,12350,192,,420000,18,12,,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,24600,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,15,,,,,,,
,103,,,,12475,192,,430000,18,12,,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,24750,14550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,15,,,,,,,
,104,,,,12600,192,,450000,18,12,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,24900,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,15,,,,,,,
,105,,,,12725,,,,18,12,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,25300,14850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22",,,,,,,15,,,,,,,
"Archer Queen",1,"TID_ARCHER_QUEEN","TID_HERO_INSTRUCTIONS_QUEEN",300,580,2,"DarkElixir",5000,8,2,500,,750,,136,1,,"sc/ui.sc","icon_hero_archerQueen","unit_archerQueen_big","sc/info_archer.sc","icon_hero_archerQueen_profile","sc/ui.sc","hero_art_aq","sc/ui.sc","ArcherQueen arrow lvl1",,"Hero Deploy",,,"Archer Queen Hit","FALSE","TRUE","TRUE","FALSE",,,,,1000,25,25,10,,"Elixir",,"Archer Queen Scream",,,300,"Archer","TID_HERO_ABILITY_QUEEN_DESC","icon_hero_archerQueen_ability1","unit_archerQueen_ability1_big",2520,1411,1300,,,,,,,,,,,,,,,,,,,,,,,2100,500,,-50,"TRUE",,,,"ArcherQueenDefault",,"F","ArcherQueenAbilityHeal","1","TRUE",,"HeroQueen",,2,"Archer Crown; Royal Cloak;",1,"sc/buildings.sc","AQ_rally_point","AQ_rally_point_base","aq",,"ForceMoveAQ","TRUE"
,2,,,,592,4,,5500,8,2,,,,,139,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,10,,,,,,,,,,,,2574,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,3,,,,604,8,,6000,8,2,,,,,143,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,10,,,,,,,,,,,,2638,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,4,,,,617,10,,6500,8,2,,,,,146,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,10,,,,,,,,,,,,2694,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,1,,,,,,,
,5,,,,630,12,,7000,8,2,,,,,150,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2815,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,6,,,,643,14,,7500,8,2,,,,,154,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2883,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,7,,,,657,16,,8000,8,2,,,,,157,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2942,1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,8,,,,670,18,,8500,8,2,,,,,162,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,3019,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,9,,,,685,20,,10000,8,2,,,,,165,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,12,,,,,,,,,,,,3080,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,1,,,,,,,
,10,,,,699,22,,10500,8,2,,,,,169,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3212,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,1,,,,,,,
,11,,,,714,24,,11000,9,3,,,,,173,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3284,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,12,,,,729,24,,11500,9,3,,,,,178,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3368,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,13,,,,744,24,,12000,9,3,,,,,183,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3451,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,14,,,,759,24,,12500,9,3,,,,,187,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3524,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,2,,,,,,,
,15,,,,775,24,,13000,9,3,,,,,192,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,16,,,,,,,,,,,,3678,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,16,,,,792,24,,13500,9,3,,,,,196,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,16,,,,,,,,,,,,3757,2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,17,,,,808,24,,14000,9,3,,,,,201,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,16,,,,,,,,,,,,3844,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,18,,,,826,24,,14500,9,3,,,,,207,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,16,,,,,,,,,,,,3945,2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,19,,,,842,24,,15000,9,3,,,,,212,,,,,,,,,,,"ArcherQueen arrow lvl1",,,,,,,,,,,,,,,,,16,,,,,,,,,,,,4032,2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,2,,,,,,,
,20,,,,861,24,,17000,9,3,,,,,217,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,4203,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,2,,,,,,,
,21,,,,878,24,,19000,9,3,,,,,223,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,4305,2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,22,,,,897,24,,21000,9,3,,,,,228,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,4400,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,23,,,,916,24,,23000,9,3,,,,,234,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,4506,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,24,,,,935,24,,25000,9,3,,,,,240,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,4612,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,3,,,,,,,
,25,,,,954,48,,27000,9,3,,,,,246,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,4805,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,3,,,,,,,
,26,,,,974,48,,29000,9,3,,,,,252,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,4915,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,27,,,,995,48,,31000,9,3,,,,,258,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,5027,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,28,,,,1016,48,,33000,9,3,,,,,264,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,5139,3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,29,,,,1038,48,,35000,9,3,,,,,271,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,5265,3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,4,,,,,,,
,30,,,,1059,54,,37000,9,3,,,,,278,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,5486,3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,4,,,,,,,
,31,,,,1082,54,,39000,10,4,,,,,285,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,5616,3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,32,,,,1104,54,,41000,10,4,,,,,292,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,5743,3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,33,,,,1127,54,,43000,10,4,,,,,299,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,5873,3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,34,,,,1151,54,,45000,10,4,,,,,307,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,6017,3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,5,,,,,,,
,35,,,,1175,60,,47000,10,4,,,,,315,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,6270,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,5,,,,,,,
,36,,,,1200,60,,49000,10,4,,,,,322,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,6407,3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,37,,,,1226,60,,51000,10,4,,,,,331,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,6569,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,38,,,,1251,60,,53000,10,4,,,,,338,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,6705,4117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,39,,,,1278,60,,55000,10,4,,,,,347,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,6870,4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,6,,,,,,,
,40,,,,1304,72,,58000,10,4,,,,,356,,,,,,,,,,,"ArcherQueen arrow lvl2",,,,,,,,,,,,,,,,,26,,,,,,,,,,,,7155,4441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,6,,,,,,,
,41,,,,1331,72,,61000,11,5,,,,,365,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,26,,,,,,,,,,,,7322,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,42,,,,1359,72,,64000,11,5,,,,,374,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,26,,,,,,,,,,,,7491,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,43,,,,1388,72,,67000,11,5,,,,,383,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,26,,,,,,,,,,,,7663,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,44,,,,1417,72,,70000,11,5,,,,,393,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,26,,,,,,,,,,,,7846,4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,7,,,,,,,
,45,,,,1447,72,,73000,11,5,,,,,403,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,28,,,,,,,,,,,,8170,5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,7,,,,,,,
,46,,,,1478,72,,76000,11,5,,,,,413,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,28,,,,,,,,,,,,8361,5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
,47,,,,1508,72,,79000,11,5,,,,,423,,,,,,,,,,,"ArcherQueen arrow lvl3",,,,,,,,,,,,,,,,,28,,,,,,,,,,,,8550,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,8,,,,,,,
